Country_Name	Country_3char	AAMR_per_million	population	PC_asbestos_kg	AAMR_per_million_log10	Year	male_population
Argentina	ARG	0.173878197196017	25866000	0.763279981442821	-0.759754871310052	1975	12798000
Australia	AUS	0.805627501851238	13773000	5.0480166509354	-0.0938657166123742	1975	6903000
Austria	AUT	0.535747891504955	7638000	3.86344592825347	-0.271039529496707	1975	3599000
Belgium	BEL	0.457964846662881	9772000	5.28523715736679	-0.339167857118967	1975	4781000
Brazil	BRA	0.0828616022401054	107216000	1.04676540814804	-1.08164667329082	1975	53417000
Canada	CAN	0.45627194848787	23059000	4.37449585845006	-0.340776230748295	1975	11536000
Chile	CHL	0.217953168044517	10592000	0.33987915407855	-0.661636813940389	1975	5229000
Colombia	COL	0.0510758003842375	24066000	0.814704008421286	-1.2917848190228	1975	11900000
Croatia	HRV	0.439316155131732	4501000	3.39865540279094	-0.357222825973101	1975	2180000
Cyprus	CYP	1.36898656898657	650000	6.60923076923077	0.13639918732783	1975	323000
Czech Republic	CZE	0.307905572098923	10070000	2.85391150833057	-0.511582451694664	1975	4875000
Denmark	DNK	0.698351112177521	5063000	4.38264533544012	-0.155926170869893	1975	2507000
Estonia	EST	1.30804002760525	1422000	0.566133844021378	0.116621034127466	1975	654000
France	FRA	0.583270918475449	52689000	2.62226144609564	-0.234129676682436	1975	25798000
Germany	DEU	0.358377815077046	78856000	4.4168737952724	-0.445658882625506	1975	37469000
Greece	GRC	0.409419151065671	9014000	1.67506101619703	-0.387831846559647	1975	4442000
Guatemala	GTM	0.102621722846442	6434000	0.211895140399959	-0.988760698544187	1975	3248000
Hong Kong SAR	HKG	0.290705386991785	4209000	0.0456165359942979	-0.53654692034815	1975	2135000
Hungary	HUN	0.356287058101407	10527000	2.87964282321649	-0.448199952830645	1975	5101000
Ireland	IRL	0.593976093739346	3137000	1.62161300605674	-0.226231034086173	1975	1577000
Israel	ISR	0.317711710124501	3297000	1.16216762713578	-0.497966777779937	1975	1655000
Italy	ITA	0.723419238964352	55265000	2.68446575590337	-0.140609945581378	1975	26914000
Japan	JPN	0.524169909844008	112413000	2.88786587553634	-0.280527913499655	1975	55482000
Latvia	LVA	0.902986081703824	2469000	1.45292369604701	-0.0443189436907152	1975	1137000
Lithuania	LTU	0.666915872135709	3299000	0.208398346945569	-0.175928946550566	1975	1553000
Luxembourg	LUX	5.13653846153846	354000	5.26834980662437	0.710670544386574	1975	177000
Mexico	MEX	0.0940227928985925	59608000	1.00584373462175	-1.02676685246246	1975	29748000
Netherlands	NLD	0.412067947775362	13683000	1.81385661039246	-0.385031165251336	1975	6819000
New Zealand	NZL	0.962168597886558	3083000	2.82171045518434	-0.0167488211885285	1975	1537000
Norway	NOR	0.398178915863637	4008000	1.14055222887558	-0.399921740206411	1975	1989000
Peru	PER	0.0807845169717757	15425000	0.220378173960022	-1.09267186741915	1975	7720000
Poland	POL	0.279677372759059	33971000	2.37525143995369	-0.553342668713892	1975	16522000
Portugal	PRT	0.452478235014521	9172000	1.17248146532926	-0.344402306271877	1975	4380000
Republic of Korea	KOR	0.291659302181664	35379000	1.36248433628235	-0.535124167625046	1975	17738000
Romania	ROU	0.433272817237846	21666000	0.710775716175882	-0.36323855697052	1975	10669000
Singapore	SGP	0.434285714285714	2260000	2.65796460176991	-0.362224456405503	1975	1153000
Slovakia	SVK	0.540963978777621	4753000	3.02323678612338	-0.266831652340634	1975	2341000
Spain	ESP	0.465947423562873	35879000	2.20983490807065	-0.331663085337302	1975	17566000
Sweden	SWE	0.434637405547164	8197000	1.43072668862592	-0.361872900372442	1975	4076000
Switzerland	CHE	0.595827196060995	6337000	2.93624743569512	-0.224879677640509	1975	3088000
Turkey	TUR	0.227157395497498	39277000	0.56553029338629	-0.643673119419593	1975	19515000
United Kingdom	GBR	0.869836476181957	56152000	2.26117205679821	-0.0605623843547607	1975	27316000
United States of America	USA	0.334968123018829	219081000	2.39156141640154	-0.474996520293686	1975	107741000
Uruguay	URY	0.559375	2830000	0.74793875147232	-0.252296947340013	1975	1401000
Venezuela	VEN	0.139053288092212	13190000	0.879959565327268	-0.856818737231895	1975	6678000
