model_disease	model_gender	years_of_deaths	years_of_asbestos	num_points	countries_included	intercept	BO_CI1	BO_CI2	B0_SE	B0_p_value	slope	B1_CI1	B1_CI2	B1_SE	B1_p_value	adjusted_R_squared	p_value
all mesothelioma	males	2010-2014	1975	71	all excluding Slovenia	-0.251304777996368	-0.507007046856651	0.00439749086391455	0.128175070317168	0.0539595934295881	0.37172462731599	0.26086911811056	0.48258013652142	0.0555681916737912	0.00000000483672450090975	0.384613769006344	0.00000000483672450090968
all mesothelioma	females	2010-2014	1975	69	all excluding Slovenia	-0.455887442333799	-0.665140391153782	-0.246634493513815	0.104835707925765	0.0000477445690209924	0.245460175103671	0.15608797604394	0.334832374163401	0.0447754634290462	0.000000687920792482938	0.299348937571192	0.000000687920792482935
pleural mesothelioma	males	2010-2014	1975	51	all excluding Slovenia	-0.506289446742733	-0.78475188207981	-0.227827011405655	0.138567807859173	0.000628843765074951	0.315493522813217	0.201761628912302	0.429225416714132	0.0565949917174466	0.00000105101705581483	0.375593064139374	0.00000105101705581483
pleural mesothelioma	females	2010-2014	1975	49	all excluding Slovenia	-0.869683617616985	-1.14016445140576	-0.599202783828207	0.134451154084135	0.0000000524331301748564	0.220799968945277	0.109767216628681	0.331832721261874	0.0551923826948943	0.000222419824637989	0.238148594797732	0.000222419824637989
peritoneal mesothelioma	males	2010-2014	1975	45	all excluding Slovenia	-0.879516973377099	-1.04383773616	-0.715196210594202	0.0814803383708301	0.0000000000000806714364277024	0.16679988653784	0.10058162936038	0.2330181437153	0.0328350837092615	0.00000778797722502803	0.3605178768159	0.00000778797722502803
peritoneal mesothelioma	females	2010-2014	1975	46	all excluding Slovenia	-0.961407901418762	-1.09487146970173	-0.827944333135798	0.066222941152459	0.00000000000000000217696683350569	0.0988400446702513	0.0449323482682494	0.152747741072253	0.0267483198030912	0.00060488993725855	0.219487249286669	0.000604889937258553
asbestosis	males	2010-2014	1975	50	all excluding Slovenia	-1.02368892929268	-1.2493085437539	-0.798069314831467	0.112213127523871	0.00000000000468307551300194	0.294906924854303	0.200925077040429	0.388888772668177	0.0467423769819451	0.0000000843582894298139	0.441951467296321	0.0000000843582894298149
asbestosis	females	2010-2014	1975	30	all excluding Slovenia	-1.4768123735451	-1.70515975508832	-1.24846499200187	0.111475583581053	0.000000000000139471852044312	0.0408452313429979	-0.0490439443026788	0.130734406988675	0.0438824752226244	0.359920141771435	-0.00462946492004979	0.359920141771435
all mesothelioma	males	2010-2014	1975	32	paper 2007 countries	0.126981020011252	-0.162963105666113	0.416925145688617	0.141971324532518	0.378220823117659	0.270314473907216	0.155137321744012	0.385491626070421	0.0563965654082228	0.0000417629500813883	0.414805319370585	0.0000417629500813882
all mesothelioma	females	2010-2014	1975	31	paper 2007 countries	-0.164518218937979	-0.391474964665214	0.062438526789257	0.110968832571081	0.148977234180516	0.154885045980522	0.0655310969387194	0.244238995022326	0.0436889565851527	0.00135346713172415	0.278295746524798	0.00135346713172415
pleural mesothelioma	males	2010-2014	1975	26	paper 2007 countries	-0.59831029578658	-1.0423270179809	-0.154293573592262	0.215134954037699	0.0103743927944822	0.33047232752061	0.157256108852485	0.503688546188736	0.083926711267966	0.000616763801631218	0.367167578877477	0.000616763801631217
pleural mesothelioma	females	2010-2014	1975	23	paper 2007 countries	-0.892555797202438	-1.35800904984025	-0.427102544564627	0.223817154236517	0.000668803461513779	0.205354135102113	0.0267991816586157	0.383909088545611	0.085859667599433	0.0262048502888535	0.176659884878552	0.0262048502888535
peritoneal mesothelioma	males	2010-2014	1975	24	paper 2007 countries	-0.933605938001971	-1.17529088259454	-0.691920993409406	0.116537963838272	0.0000000576799519169328	0.179161767326894	0.0858049504172248	0.272518584236564	0.0450156850747	0.000633292466123107	0.392182142434067	0.000633292466123102
peritoneal mesothelioma	females	2010-2014	1975	23	paper 2007 countries	-1.10180382841649	-1.27209352955075	-0.931514127282232	0.0818852507478645	0.00000000000857677361865855	0.133868828279432	0.0685970617424963	0.199140594816368	0.031386483939033	0.000344632956121323	0.438656837562064	0.000344632956121321
asbestosis	males	2010-2014	1975	27	paper 2007 countries	-1.08698252235162	-1.43379408524581	-0.740170959457429	0.168392848208912	0.000000926416692525397	0.331485877513166	0.192685242743226	0.470286512283106	0.0673940454207007	0.0000460101380126524	0.471467892026457	0.0000460101380126524
asbestosis	females	2010-2014	1975	14	paper 2007 countries	-1.54081695122795	-1.86307343984292	-1.21856046261297	0.14790462229112	0.000000229767292947406	0.0440763638626144	-0.0751920837322437	0.163344811457473	0.054740107076143	0.436372325963154	-0.0278031712168936	0.436372325963152
